Plate #,Row,Column,Record no.,ORF,Gene
2,P,10,1058,YPL234C,VMA11
2,P,11,1702,YOL011W,PLB3
2,P,12,1060,YPL232W,SSO1
2,P,13,1703,YOL012C,HTZ1
2,P,14,1062,YPL230W,USV1
2,P,15,1704,YOL013C,HRD1
2,P,16,1063,YPL229W,YPL229W
2,P,17,1705,YOL014W,YOL014W
2,P,18,1065,YPL227C,ALG5
2,P,19,1706,YOL015W,IRC10
2,P,20,1066,YPL226W,NEW1
2,P,21,1708,YOL017W,ESC8
2,P,22,1067,YPL225W,YPL225W
2,P,23,1709,YOL018C,TLG2
2,P,24,1069,YPL223C,GRE1
3,A,1,1070,YPL222W,FMP40
3,A,2,2151,YPL102C,YPL102C
3,A,3,1071,YPL221W,FLC1
3,A,4,2152,YPL100W,ATG21
3,A,5,1072,YPL220W,RPL1a
3,A,6,2153,YPL099C,AIM43
3,A,7,1073,YPL219W,PCL8
3,A,8,2154,YPL098C,MGR2
3,A,9,1076,YPL216W,YPL216W
3,A,10,2155,YPL097W,MSY1
3,A,11,1077,YPL215W,CBP3
3,A,12,2156,YPL096W,PNG1
3,A,13,1078,YPL214C,THI6
3,A,14,2157,YPL095C,EEB1
3,A,15,1079,YPL213W,LEA1
3,A,16,2160,YPL092W,SSU1
3,A,17,-,,
3,A,18,3314,YBR174C,YBR174C
3,A,19,1080,YPL212C,PUS1
3,A,20,-,,
3,A,21,1084,YPL208W,RKM1
3,A,22,3315,YBR175W,SWD3
3,A,23,1085,YPL207W,TYW1
3,A,24,3316,YBR176W,ECM31
3,B,1,4003,YDR068W,DOS2
3,B,2,4216,YDR380W,ARO10
3,B,3,4004,YDR069C,DOA4
3,B,4,4218,YDR382W,RPP2b
3,B,5,4005,YDR070C,FMP16
3,B,6,4219,YDR383C,NKP1
3,B,7,4007,YDR072C,IPT1
3,B,8,4220,YDR384C,ATO3
3,B,9,4008,YDR073W,SNF11
3,B,10,4221,YDR385W,EFT2
3,B,11,4010,YDR075W,PPH3
3,B,12,4222,YDR386W,MUS81
3,B,13,4011,YDR076W,RAD55
3,B,14,4223,YDR387C,YDR387C
3,B,15,4012,YDR077W,SED1
3,B,16,4224,YDR388W,RVS167
3,B,17,4013,YDR078C,SHU2
3,B,18,4225,YDR389W,SAC7
3,B,19,4014,YDR079W,PET100
3,B,20,4227,YDR391C,YDR391C
3,B,21,-,,
3,B,22,4228,YDR392W,SPT3
3,B,23,4015,YDR080W,VPS41
3,B,24,-,,
3,C,1,1086,YPL206C,PGC1
3,C,2,3317,YBR177C,EHT1
3,C,3,1087,YPL205C,YPL205C
3,C,4,3318,YBR178W,YBR178W
3,C,5,1089,YPL203W,TPK2
3,C,6,3319,YBR179C,FZO1
3,C,7,1090,YPL202C,AFT2
3,C,8,3320,YBR180W,DTR1
3,C,9,1091,YPL201C,YIG1
3,C,10,3321,YBR181C,RPS6b
3,C,11,1092,YPL200W,CSM4
3,C,12,3322,YBR182C,SMP1
3,C,13,1093,YPL199C,YPL199C
3,C,14,3323,YBR183W,YPC1
3,C,15,1094,YPL198W,RPL7b
3,C,16,3324,YBR184W,YBR184W
3,C,17,1095,YPL197C,YPL197C
3,C,18,3325,YBR185C,MBA1
3,C,19,1096,YPL196W,OXR1
3,C,20,3326,YBR186W,PCH2
3,C,21,1097,YPL195W,APL5
3,C,22,3327,YBR187W,GDT1
3,C,23,1098,YPL194W,DDC1
3,C,24,3328,YBR188C,NTC20
3,D,1,4018,YDR083W,RRP8
3,D,2,4229,YDR393W,SHE9
3,D,3,4019,YDR084C,TVP23
3,D,4,4231,YDR395W,SXM1
3,D,5,4020,YDR085C,AFR1
3,D,6,4235,YDR399W,HPT1
3,D,7,4024,YDR089W,YDR089W
3,D,8,4236,YDR400W,URH1
3,D,9,4025,YDR090C,YDR090C
3,D,10,4237,YDR401W,YDR401W
3,D,11,4027,YDR092W,UBC13
3,D,12,4238,YDR402C,DIT2
3,D,13,4028,YDR093W,DNF2
3,D,14,4239,YDR403W,DIT1
3,D,15,4029,YDR094W,YDR094W
3,D,16,4241,YDR405W,MRP20
3,D,17,4030,YDR095C,YDR095C
3,D,18,4242,YDR406W,PDR15
3,D,19,4031,YDR096W,GIS1
3,D,20,4244,YDR408C,ADE8
3,D,21,4032,YDR097C,MSH6
3,D,22,4245,YDR409W,SIZ1
3,D,23,4033,YDR098C,GRX3
